"Begrip","Betekenis","Verwijzing","Woordenboek",,,,,
"Classificatie","Beoordelen hoe gevoelig of belangrijk informatie of een systeem is. Dit is nodig om de juiste maatregelen te kunnen nemen om de informatie of het systeem te beschermen.",,"INFOSEC",,,,,
"click fraud","Een vorm van fraude waarbij de eigenaar van een website geld krijgt voor iedere keer dat een gebruiker op een advertentie klikt. Bij deze vorm van fraude klikken geautomatiseerde scripts, bots of personen telkens op deze advertenties. En zo zorgen ze voor inkomsten voor de website-eigenaar.",,"INFOSEC",,,,,
"Cloud access security broker","Een beveiligingsoplossing voor toepassingen in de cloud. Daarbij plaatst men een schakel tussen het bedrijfsnetwerk en de cloud. Dat levert de volgende voordelen op: - Men weet welke applicaties in de cloud men gebruikt. - Men beschermt de bedrijfsgegevens die van en naar de cloud gaan. - Men krijgt controle vanuit één centraal punt.",,"INFOSEC",,,,,
"Cloud based security",,"Cloud security","INFOSEC",,,,,
"Cloud computing","Een model waarbij op aanvraag computercapaciteit van anderen wordt gebruikt. De capaciteit deelt men bijvoorbeeld voor servers, opslag, applicaties en diensten.",,"INFOSEC",,,,,
"Cloud security","1. De beveiliging van alle data, applicaties en het netwerk van apparaten die in een cloudtoepassing zitten. \newline 2. Cybersecuritydiensten die een aanbieder vanuit de cloud aan een klant levert.",,"INFOSEC",,,,,
"Code assessment",,"Code audit","INFOSEC",,,,,
"Code audit","Een analyse van de broncode van een programma, met als doel om zwakke plekken te vinden. Dit gebeurt volgens een norm die men vooraf objectief heeft vastgesteld. Een code audit doet men voor een groot deel handmatig. ",,"INFOSEC",,,,,
"Code execution","Actie waarbij iemand ongewild een programmacode laat uitvoeren door een computer of programma. Doet iemand dat op afstand, dan heet dat remote code execution",,"INFOSEC",,,,,
"Remote code execution",,"Code execution","INFOSEC",,,,,
"Code injection","Aanval op een onveilige plek in een applicatie. Daarbij verandert de aanvaller iets in de code van het systeem waardoor het programma anders werkt. Voorbeeld van een code injection is SQL-injection.",,"INFOSEC",,,,,
"Code review","Analyse van de broncode van een programma. Het doel is zwakke plekken te vinden. Men zoekt voor een groot deel handmatig, en niet aan de hand van een uitputtende lijst van kwetsbaarheden. ",,"INFOSEC",,,,,
"Command Execution","Aanval waarbij men door zwakheden in een website direct opdrachten kan geven aan het systeem waar de website op draait. Met die opdrachten kan een aanvaller het systeem dingen laten doen die niet de bedoeling zijn.",,"INFOSEC",,,,,
"Command-and-control server","De machine die een aanvaller gebruikt om commando’s te sturen naar systemen waarin hij heeft ingebroken. Bijvoorbeeld als hij een DDoS-aanval wil doen of een bot in een botnet wil aansturen.",,"INFOSEC",,,,,
"Compartimentering",,"Segmentering","INFOSEC",,,,,
"Compliance","De activiteiten die men uitvoert om als persoon of organisatie te voldoen aan bepaalde eisen. Dat kan een wet zijn, maar ook eisen uit de branche of regels van de eigen organisatie.",,"INFOSEC",,,,,
"Computervredebreuk","Met opzet inbreken in een digitaal systeem, terwijl dat van de wet niet mag.",,"INFOSEC",,,,,
"Confidentiality","Vertrouwelijkheid, vooral van data en informatie. Data en informatie zijn alleen bedoeld voor specifieke ontvanger(s).",,"INFOSEC",,,,,
"Configuratie","De manier waarop hardware en software is ingesteld voor het gewenste doel. ",,"INFOSEC",,,,,
"Consent","Engelstalige aanduiding voor toestemming.","Toestemming","INFOSEC",,,,,
"Toestemming","Toestemming. Eén van de peilers van het dataprotectierecht en privacyrecht. Data mogen niet verwerkt worden, tenzij de persoon waarover de data gaan, toestemming heeft gegeven. Deze toestemming is expliciet, geïnformeerd, vrijwillig en ondubbelzinnig. ",,"INFOSEC",,,,,
"Containeriseren","Een manier om applicaties los te laten werken van een besturingssysteem of andere applicaties. In een container zit de applicatie zelf en alles wat nodig is om de applicatie te laten werken. Het voordeel van containeriseren is dat men de applicatie makkelijk kan verplaatsen naar een andere omgeving. Net als met containers op een schip.",,"INFOSEC",,,,,
"Control",,"Beheersmaatregel","INFOSEC",,,,,
"Control framework","Principes, uitgangspunten, manieren van denken, processen en afspraken die een organisatie gebruikt voor het omgaan met veiligheidsrisico’s.",,"INFOSEC",,,,,
"Convention on cybercrime","Convention on Cybercrime van de Council of Europe. Internationaal verdrag dat tot doel heeft om de wetten van de aparte landen op het gebied van cybercrime op elkaar aan te laten sluiten. Het Verdrag beoogt landen samen te laten werken op dit terrein en kennis uit te laten wisselen op het gebied van opsporingstechnieken. 63 landen hebben dit verdrag geratificeerd, en nog eens 4 landen hebben het getekend.",,"INFOSEC",,,,,
"Cookie","Een klein bestand dat door een website op de harde schijf van een bezoeker wordt gezet. In een cookie staat informatie over het bezoek aan de website, zoals de naam, datum en tijd. De website bewaart de informatie om die later te kunnen gebruiken voor analyses en marketing.",,"INFOSEC",,,,,
"Coordinated vulnerability disclosure","Standaard proces waarmee security onderzoekers zwakke plekken in computersystemen en producten kunnen melden. Ze mogen dat alleen doen als ze zich houden aan de spelregels van de organisatie voor dit soort meldingen. Het Nationaal Cyber Security Centrum (NCSC) heeft een handleiding waarin staat waaraan de spelregels moeten voldoen. Deze methode is de opvolger van de Responsible Disclosure. Het belangrijkste verschil met vroeger is dat de onderzoeker nu niet meer alleen verantwoordelijk is voor de gevolgen van een beveiligingslek.","Responsible disclosure","INFOSEC",,,,,
"COSO","1. Chief Operational Security Officer. Equivalent van de Chief Information Security Officer binnen een operationele productie omgeving. \newline 2. Een managementmodel dat is ontwikkeld door Committee of Sponsoring Organizations of the Treadway Commission (COSO).",,"INFOSEC",,,,,
"Cracker","Een aanvaller die met kwade bedoelingen in een computernetwerk inbreekt, bijvoorbeeld omdat hij gegevens wil stelen of een netwerk wil beschadigen.","Hacker","INFOSEC",,,,,
"Cracking","Met kwade bedoelingen in een computernetwerk inbreken, bijvoorbeeld om gegevens te stelen of een netwerk te beschadigen.","Hacken","INFOSEC",,,,,
"Credentials","De gegevens waarmee een gebruiker of ander computersysteem bij een computersysteem kan aantonen dat hij is wie hij zegt dat hij is. Bijvoorbeeld een gebruikersnaam in combinatie met een wachtwoord of een via SMS opgestuurde code.",,"INFOSEC",,,,,
"Crisismanagement","Acties en maatregelen om een crisis in een organisatie te voorkomen of op te  lossen. Een crisis is een noodsituatie waarbij een organisatie ernstig verstoord raakt.",,"INFOSEC",,,,,
"Critical infrastructure",,"Kritieke infrastructuur","INFOSEC",,,,,
"Cross site request forgery","Een aanvaller lokt een gebruiker naar een andere webpagina. Zo kan hij namens die gebruiker iets doen op die webpagina of in het account op die website. Bijvoorbeeld het wijzigen van een wachtwoord of een e-mailadres.",,"INFOSEC",,,,,
"Cross site scripting","Veel voorkomende fout in een website waardoor een aanvaller toegang kan krijgen tot gegevens of functionaliteit die niet voor hem bedoeld is.",,"INFOSEC",,,,,
"Crypto","1. Cryptografie \newline 2. Cryptosleutels.","Cryptografie","INFOSEC",,,,,
"Cryptografie","Informatie omzetten in een code zodat een ander het niet kan lezen. Dit doet men als men gevoelige informatie veilig wil bewaren of versturen. Meestal bestaat cryptografie uit een algoritme voor versleutelen en ontsleutelen en één of meerdere sleutels.",,"INFOSEC",,,,,
"Cryptojacking","De rekenkracht van een computer van iemand anders gebruiken om er cryptovaluta mee te maken. Die ander weet hier niets van. Het maken van cryptovaluta wordt ook ‘minen’ genoemd.",,"INFOSEC",,,,,
"Cryptomining","Alle transacties in een blockchain verzamelen, controleren en verwerken. Dit gebeurt om dubbele uitgaves op te sporen. ",,"INFOSEC",,,,,
"Cryptovaluta","Digitaal ruilmiddel. Een bekende cryptovaluta is de bitcoin.",,"INFOSEC",,,,,
"Crystal box test","Een penetratietest, waarbij de onderzoeker niet alleen toegang heeft tot de omgeving maar ook de broncode. Wordt ook wel een whitebox test genoemd. Het is de tegenhanger van een blackbox test, waarbij geen kennis aanwezig is. ","White box test, Pentest, Black box test","INFOSEC",,,,,
"CSIRT","Computer Security Incident Response Team. Een team van deskundigen dat beveiligingsincidenten oplost. Dit kan een intern team zijn, maar ook een extern ingehuurd team.","CERT","INFOSEC",,,,,
"CSMS","Afkorting van Cyber Security Management System wat een andere benaming is voor een Information Security Management System.","ISMS","INFOSEC",,,,,
"CSRF","Cross Site Request Forgery.","Cross site request forgery","INFOSEC",,,,,
"CVD","Afkorting van Coordinated Vulnerability
Disclosure.","Coordinated Vulnerability Disclosure","INFOSEC",,,,,
"CVE","Common Vulnerabilities and Exposures. Een openbare lijst van bekende zwakke plekken in software. De lijst staat wordt door Mitre beheerd en is \href{https://cve.mitre.org}{openbaar toegankelijk}",,"INFOSEC",,,,,
"CVSS","Common Vulnerability Scoring System. Systeem om een score te geven aan een zwakke plek in soft - ware. Hoe hoger de score, hoe zwakker de plek. Een organisatie kan deze score gebruiken om te bepalen welke zwakke plekken ze als eerste gaat oplossen. Meer informatie over het scoresysteem staat op \\href{https://www.first.org/cvss/}.",,"INFOSEC",,,,,
"CWE","Common Weakness Enume - ration. Een openbare lijst met bekende soorten zwak - ke plekken in software. De lijst is te vinden op \\url{https:// cwe.mitre.org/}. ",,"INFOSEC",,,,,
"Cyber","""Cyber-"" is een voorvoegsel dat gebruikt wordt voor iets wat met internettechnologie samenhangt. (wikipedia) \newline Iets wat te maken heeft met digitale informatie en sys - temen die verbonden zijn met het internet. (cyber woordenboek)",,"INFOSEC",,,,,
"Cyber defense","Het hebben van middelen om cyberaanvallen af te slaan. Bijvoorbeeld strate - gische of militaire midde - len. Term wordt met name gebruikt in de context van nationale veiligheid.",,"INFOSEC",,,,,
"Cyber kill chain","Een model waarin staat welke stappen een aanval - ler zet bij een cyberaanval. Het bekendste voorbeeld van een cyber kill chain is de Lockheed Martin Kill Chain.",,"INFOSEC",,,,,
"Cyber norms","Internationale afspraken op het terrein van gedrag van landen in cyberspace. Bijvoorbeeld over het gebruik van cyberdefense, cyberoffense of capacity building.",,"INFOSEC",,,,,
"Cyber offense","Het hebben van middelen om cyberaanvallen uit te voeren. Bijvoorbeeld strategische of militaire middelen. Term wordt met name gebruikt in de context van nationale veiligheid.",,"INFOSEC",,,,,
"Cyber resilience",,"Cyberweerbaarheid","INFOSEC",,,,,
"Cyberaanval","Een gerichte aanval in of via digitale netwerken. Doelwitten kunnen zijn: personen, groepen, bedrijven en organisaties, overheden, andere landen.",,"INFOSEC",,,,,
"Cyber attack",,"Cyberaanval","INFOSEC",,,,,
"Cyberbullying","Pesten op internet","Cyber","INFOSEC",,,,,
"Cybercrime-as-a-service","Een dienst van criminelen om tegen betaling een digitale aanval uit te voeren. Hun afnemers zijn vaak ook criminelen. Bekende voorbeelden zijn het stelen en doorverkopen van creditcardgegevens of medische gegevens. En kwaadaardige software of DDoS-aanvallen doorverkopen.","Cyber","INFOSEC",,,,,
"Cybercriminaliteit","Criminaliteit waarbij men een computersysteem aanvalt of misbruikt voor criminele activiteiten. Er zijn 2 types: \newline 1. Cybercriminaliteit in brede zin. Dit zijn alle strafbare activiteiten waarbij iemand een informatiesysteem of computer gebruikt. Denk aan diefstal en vervalsing van betaalpassen, oplichting, afpersing, kinderporno, racisme en belediging. \newline 2. Cybercriminaliteit in enge zin. Hierbij gebruikt men informatiesystemen en computers niet alleen als middel, maar zijn ze ook een doel. Bijvoorbeeld computers beschadigen, spamaanvallen, DDoS-aanvallen, virussen verspreiden.","Virussen, DdoS-aanvallen, kinderporno, raciscme, belediging, Cyber","INFOSEC",,,,,
"Cyberdiplomatie","Het onderhouden van geopolitieke relaties met andere staten en hun representanten ten aanzien van statelijk gedrag in cyberspace.","Cyber","INFOSEC",,,,,
"Cyberhygiene","Wat minimaal nodig is om een informatienetwerk te beveiligen. Bijvoorbeeld het automatisch vergrendelen van een digitaal systeem als het een bepaalde tijd niet gebruikt wordt, meerfactorauthenticatie, het maken van back-ups, het gebruik van anti-virus software en het aansturen op veilig gedrag van personeel.","Cyber","INFOSEC",,,,,
"Cybersabotage","Activiteiten waarbij men expres en gedurende een lange tijd informatiesystemen en informatiediensten beschadigt. Zodat gebruikers niet meer bij informatie kunnen wanneer zij dat willen. In het ergste geval gaat de informatie verloren. Of het systeem wordt verwoest.","Cyber","INFOSEC",,,,,
"Cybersecurity","Alle beveiligingsmaatregelen die men neemt om schade te voorkomen door een storing, uitval of misbruik van een informatiesysteem of computer. Ook worden maatregelen genomen om schade te beperken en/of herstellen als die toch is ontstaan. Voorbeelden van schade zijn dat men niet meer in een computersysteem kan komen wanneer men dat wil. Of dat de opgeslagen informatie bij anderen terecht komt of niet meer klopt. De maatregelen hebben te maken met processen in de organisatie, technologie en gedrag van mensen.","Cyber","INFOSEC",,,,,
"Cyberspace","Een ecosysteem van digitale (genetwerkte) technologieën, waarbinnen allerlei verschillende actoren informatie creëren, opslaan, uitwisselen, gebruiken en delen.","Cyber","INFOSEC",,,,,
"Cyberspionage","Het binnendringen van digitale systemen voor het verkrijgen van vertrouwelijke informatie, vaak strategisch, economisch of militair van aard, veelal door staten of bedrijven.","Cyber","INFOSEC",,,,,
"Cyberterrorisme","Terroristische activiteiten die men digitaal uitvoert. Bijvoorbeeld het beschadigen of uitschakelen van belangrijke informatienetwerken via internet.","Cyber","INFOSEC",,,,,
"Cyberveilig","Aanduiding om aan te gegeven dat men spreekt over weerbaarheid.","Cyber, Cyberweerbaar","INFOSEC",,,,,
"Cyberverzekering","Een verzekering die betaalt voor de financiële schade die ontstaat als gevolg van een datalek, virus, hack of andere cyberaanval. De verzekering betaalt niet alleen voor schade bij de organisatie zelf, maar ook voor schade die ze aan anderen moet betalen. Daarnaast bieden de meeste verzekeraars ook hulp aan in de vorm van diensten, zoals herstel of communicatie.","Cyber","INFOSEC",,,,,
"Cyberwarfare","Digitale (genetwerkte) technieken gebruiken om de systemen van staten of organisaties aan te vallen. Vaak met een militair of strategisch doel.","Cyber","INFOSEC",,,,,
"Cyberweerbaarheid","De veerkracht van een organisatie en haar digitale systemen en processen. Cyberweerbaarheid wordt uitgedrukt in de snelheid en effectiviteit waarmee een organisatie zich weet te herstellen na een incident.","Cyber","INFOSEC",,,,,
"Darknet",,"Darkweb","INFOSEC",,,,,
"Dark web","Het dark web is een onderdeel van het wereldwijde web dat niet rechtstreeks vindbaar is voor de zoekmachines.  Het deel van het web dat gevonden kan worden door zoekrobots is een fractie van alle websites die zich op dat web bevinden. Naast die geïndexeerde websites zijn er ook websites die dit niet zijn, maar wel rechtstreeks toegankelijk zijn zolang men de url weet. Het kan hier gaan over gevoelige informatie of bijvoorbeeld overheidsdocumenten, waarvan men wil dat ze niet gemakkelijk te vinden zijn voor onbevoegden. Deze niet-geïndiceerde websites bevinden zich in het deep web. Het dark web is hier een onderdeel van, alleen is dit onderdeel van het web niet rechtstreeks toegankelijk. Er is speciale software noodzakelijk die de gebruiker anonimiteit moet verschaffen.\newline  Niet alles op het dark web draait om illegale handel van goederen en diensten. Met het dark web kunnen bijvoorbeeld journalisten, mensenrechtenactivisten, dissidenten en klokkenluiders anoniem blijven wanneer zij er hun werk uitvoeren.",,"INFOSEC",,,,,
"DAST","Dynamic Application Security Testing. Categorie van software-tools die een applicatie testen op kwetsbaarheden, terwijl deze in werking is. ",,"INFOSEC",,,,,
"Data leak prevention",,"Data Leak Prevention","INFOSEC",,,,,
"Data loss prevention","Voorkomen dat specifieke informatie ongeoorloofd wordt verzonden.",,"INFOSEC",,,,,
"Data protection","Gegevensbescherming. Het geheel van wettelijke rechten en plichten over het opslaan, gebruiken en delen van (persoonlijke) data.",,"INFOSEC",,,,,
"Datadiode","Een communicatieapparaat dat zorgt voor een veilige verbinding zodat gegevens maar één kant op kunnen gaan.",,"INFOSEC",,,,,
"Datalek","Een storing in de beveiliging van een computersysteem. Een gevolg hiervan kan zijn dat gegevens worden veranderd, deze verloren gaan of bij verkeerde personen terechtkomen. In de context van de AVG wordt met datalek vaak een storing in de beveiliging van persoonsgegevens bedoeld. Een storing kan een technische oorzaak hebben, maar ook bijvoorbeeld veroorzaakt worden door een persoon, zoals een mail naar een verkeerde persoon sturen.",,"INFOSEC",,,,,
"DDoS","Afkorting van Distributed Denial of Service.","Distributed Denial of Service aanval","INFOSEC",,,,,
"Deception technology","Technologie voor het ontdekken van aanvallers in digitale systemen. Bijvoorbeeld door aanvallers te lokken en misleiden met nepinformatie het gebruiken van die informatie om hen te ontdekken. ",,"INFOSEC",,,,,
"Decryptie",,"Ontsleutelen","INFOSEC",,,,,
"Deep packet inspection","Algemene naam voor technieken waarmee men in detail gegevens analyseert die via netwerken verspreid worden. Men onderzoekt hierbij meer dan alleen het adres van de afzender en de ontvanger. Doel is om zo meer bedreigingen te kunnen opsporen. ",,"INFOSEC",,,,,
"Deep web",,"Darkweb","INFOSEC",,,,,
"Defacement","Een aanval op een website waarbij de aanvaller een website ongevraagd verandert.",,"INFOSEC",,,,,
"Defensive capabilities",,"Cyber defense","INFOSEC",,,,,
"Denial of Service aanval","Aanval waarbij men probeert om een computer, netwerk of dienstverlening uit te schakelen voor d5e gewone gebruiker of klant. Zet men hiervoor meer computers in, dan gaat het om een Distributed Denial of Service (DDoS-aanval).","Distributed Denial of Service aanval","INFOSEC",,,,,
"Desinformatie","Misleidende of afleidende informatie die men met opzet verspreidt.","Nepnieuws","INFOSEC",,,,,
"Digitale handtekening","Een elektronische variant van de handgeschreven handtekening. De digitale handtekening bestaat uit elektronische gegevens en hoort bij een digitaal document. Zo kan men met cryptografische technieken vaststellen of het document niet aangepast is, en waar het vandaan komt.","Hashing, PKI, certificaat","INFOSEC",,,,,
"Digitale sabotage",,"Cybersabotage, Cyber","INFOSEC",,,,,
"Digitale spionage",,"Cyber spionage","INFOSEC",,,,,
"Digitale veiligheid",,"Cyberveilig","INFOSEC",,,,,
"Disaster recovery plan","Plan waarin staat hoe het digitale systeem moet herstellen na een grote storing","Business continuity plan","INFOSEC",,,,,
"Disk image","Een image of schijfkopie is een computerbestand waarin een exacte kopie van een opslagmedium, zoals een harde schijf, een cd of een dvd, is opgeslagen. Het bevat alle informatie die nodig is om de structuur en gegevens van het medium opnieuw te construeren, zoals de bestanden, de bestandsstructuur en meta-informatie. Een image verschilt hierin met een gewone back-up waarbij alleen de bestanden worden overgenomen. Het bewaren van de structuur en integriteit van de gegevens is bij een image meer verzekerd.","forensic image","INFOSEC",,,,,
"Distributed Denial of Service aanval","Aanval door een verzameling computers of andere apparaten die tegelijk proberen om een computer(netwerk) of dienstverlening uit te schakelen. Vaak gaat de aanval via een botnet.",,"INFOSEC",,,,,
"DKIM","Domain Keys Identified Mail. DKIM is een techniek waarmee e-mailberichten kunnen worden gewaarmerkt. Het gebruik van DKIM verkleint de kans op misbruik van e-mailadressen doordat ontvangers betrouwbaar echte e-mails van phishingmails of spam kunnen onderscheiden. Ook kunnen ontvangers controleren of de inhoud van de e-mail door derden is gemanipuleerd.",,"INFOSEC",,,,,
"DLP","Data Loss Prevention","Data Loss Prevention","INFOSEC",,,,,
"DMARC","Domain-based Message Authentication, Reporting and Conformance. Techniek om valse e-mails of SPAM tegen te gaan. DMARC geeft de verzendende partij de mogelijkheid om beleid  te formuleren wat er met e-mails moet gebeuren wanneer de echtheidswaarmerken niet kloppen. Het geeft ook rapportagemogelijkheden voor legitieme en niet-legitieme uitgaande e-mailstromen.",,"INFOSEC",,,,,
"DMZ","Demilitarized Zone. Een apart gebied in een computernetwerk dat het interne netwerk scheidt van het internet. Alle onderdelen van het netwerk die contact hebben met externe netwerken, zitten bij elkaar in dit gebied. ","Zero trust","INFOSEC",,,,,
"DNS","Domain Name System. Het systeem dat op het internet gebruikt wordt om namen van computers te vertalen naar IP-adressen en andersom. Dat vertalen gaat simpel: de namen van de computer staan in een tabel en iedere naam krijg een eigen nummer, zoals in een telefoonboek.","Domeinnaam, IP-adres","INFOSEC",,,,,
"DNSSEC","Domain Name System Security Extensions. Beveiligingsoplossing om een aanval op een domeinnaam tegen te gaan. In vaktaal heet dit DNS-spoofing. Bij zo’n aanval stuurt men bijvoorbeeld een bezoeker van een bepaalde website door naar een valse website. Een domeinnaamhouder kan met DNSSEC een  digitale handtekening toevoegen aan DNS-informatie. Met deze handtekening kan een internetgebruiker onzichtbaar en volledig automatisch de inhoud en de ontvangen DNS-informatie valideren. Hierdoor is met grote waarschijnlijkheid vast te stellen dat het antwoord van de DNS onderweg niet is gemanipuleerd door derden.",,"INFOSEC",,,,,
"Domeinnaam","Een unieke naam op internet. Meestal geldt een domeinnaam voor websites, maar men kan ook een domeinnaam aanvragen voor een persoonlijk mailadres.","IP-adres","INFOSEC",,,,,
"DoS","Afkorting van Denial-of-Service.","Denial of Service aanval","INFOSEC",,,,,
"DPA","Data Protection Authority. De toezichthouder in een staat die toeziet op naleving en handhanving van wet- en regelgeving op het terrein van privacy en gegevensbescherming. In Nederland is dit de Autoriteit Persoonsgegevens.","Autoriteit Persoonsgegevens","INFOSEC",,,,,
"DPI","Afkorting van Deep Packet Inspection","Deep Packet Inspection","INFOSEC",,,,,
"DPIA","Data Protection Impact Assessment. Een organisatie onderzoekt vooraf wat de risico’s van gegevensverwerking zijn voor de privacy van personen. Dit is vaak verplicht volgens de Algemene verordening Gegevensbescherming.","Privacy impact assessment, AVG","INFOSEC",,,,,
"GEB","Afkorting van Gegevensbeschermingseffectbeoordeling vaak aangeduid met het Engelstalige: DPIA","DPIA","INFOSEC",,,,,
"Gegegevensbeschermingeffectbeoordeling",,"DPIA","INFOSEC",,,,,
"DPO","Data Protection Officer. De medewerker die controleert of een organisatie zich houdt aan de regels van de AVG. ","AVG","INFOSEC",,,,,
"Dreiging","Iets wat gevaar of schade kan opleveren voor een organisatie. Bijvoorbeeld een storing, reputatieschade of financieel verlies. ","Risico","INFOSEC",,,,,
"Dreigingslandschap","Een overzicht van alle mogelijke dreigingen voor digitale systemen, organisaties of sectoren.",,"INFOSEC",,,,,
"Drive-by-download","Wanneer een website kwaadaardige bestanden op je computer plaatst, automatisch en zonder dat je het doorhebt. ",,"INFOSEC",,,,,
"DSP","Digitale Service Provider. Een aanbieder die clouddiensten, onlinezoekmachinies en/of onlinemarktplaatsen aanbiedt. Een DSP valt in bepaalde omstandigheden onder de verplichtingen van de WBNI.",,"INFOSEC",,,,,
"DTC","Digital Trust Center. Onderdeel van het ministerie van Economische Zaken en Klimaat dat als doel heeft om ondernemers te helpen met veilig digitaal ondernemen.",,"INFOSEC",,,,,
"Dual control","Uitgangspunt waarbij meerdere personen nodig zijn om 1 specifieke activiteit uit te voeren. Bijvoorbeeld: als iemand een kamer in wil, zijn er vingerafdrukken van 2 personen nodig.",,"INFOSEC",,,,,
"Dumpster-diver","Iemand die vertrouwelijke informatie probeert te vinden door het afval van iemand te doorzoeken.",,"INFOSEC",,,,,
"Dumpster diven","Iemand die bezig is om vertrouwelijke informatie te vinden door het afval van iemand te doorzoeken.",,"INFOSEC",,,,,
"E-discovery","Grote aantallen elektronische data doorzoeken voor een bepaald doel. Meestal voor een juridisch onderzoek of een rechtszaak.",,"INFOSEC",,,,,
"EDR","Afkorting van Endpoint Detection and
Response.","Endpoint Detection and Response","INFOSEC",,,,,
"End-of-life","Het moment dat een leverancier de software of hardware niet meer ondersteunt. Meestal voert hij dan geen updates of andere aanpassingen meer uit","Patch, Update","INFOSEC",,,,,
"Endpoint detection and response","Software die computers, laptops en vergelijkbare digitale apparaten beschermt tegen kwaadaardige software. Deze beschermende software maakt men door gebruik te maken van kenmerken van al bekende kwaadaardige software. Of van van opvallend gedrag van nieuwe software in een computersysteem. Bij een incident gebruikt men deze software om specifieke zoekopdrachten uit te voeren op digitale systemen. Zo kan men dit incident helpen oplossen. ",,"INFOSEC",,,,,
"ENISA","Afkorting van European Union Agency for Network and Information Security. Het Europees agentschap dat als doel heeft om netwerken en informatie binnen de EU beter te beveiligen.",,"INFOSEC",,,,,
"Escrow","Een softwareleverancier vraagt een ander onafhankelijk bedrijf om te zorgen dat de broncode van een computerprogramma vertrouwelijk wordt bewaard, bijvoorbeeld voor het geval dat de leverancier failliet gaat of bij een juridisch conflict.",,"INFOSEC",,,,,
"Ethical Hacker",,"Whitehat hacker","INFOSEC",,,,,
"Ethische Hacker",,"Whitehat hacker","INFOSEC",,,,,
"Exploit","Programmacode of reeks acties waarmee iemand een zwakke plek in een digitaal systeem misbruikt. Het doel hiervan kan zijn om toegang te krijgen tot het systeem, om informatie te stelen of te veranderen of om te zorgen dat anderen niet meer bij informatie kunnen. Men kan een exploit gebruiken als onderdeel van malware.",,"INFOSEC",,,,,
"Exploitkit","Kant-en-klare kwaadaardige software die aanvallers op een website in kunnen zetten. De exploitkit maakt dan automatisch misbruik van zwakke plekken in de systemen van de bezoekers van de website en besmet hun systemen.",,"INFOSEC",,,,,
"Fail Safely","Inrichting van een beveiligingssysteem die ervoor zorgt dat bij een storing of defect het beveiligde object in een veilige status blijft. Bijvoorbeeld: bij stroomuitval blijven alle buitendeuren gesloten.",,"INFOSEC",,,,,
"Fake news",,"Nepnieuws","INFOSEC",,,,,
"False negative","De situatie dat een beveiligingssysteem iets hoort te zien en het niet opmerkt terwijl het wel gebeurt.",,"INFOSEC",,,,,
"FG","Afkorting van Functionaris Gegevensbescherming. ","Functionaris Gegevensbescherming","INFOSEC",,,,,
"Filteren en Blokkeren",,"Blokkeren en filteren","INFOSEC",,,,,
"Firewall","Hardware of software om computers en netwerken te beschermen tegen aanvallen. Een firewall bekijkt alles wat over het netwerk gaat en blokkeert bepaald verkeer op het netwerk.",,"INFOSEC",,,,,
"Firmware","Software in een apparaat of onderdeel van hardware in een apparaat dat ervoor zorgt dat de hardware zijn werk doet. Vaak kan men firmware updaten.",,"INFOSEC",,,,,
"Forensic image","Een exacte kopie van bijvoorbeeld een harde schijf, een USB-stick of het geheugen van een digitaal systeem. In de kopie staat alle informatie die nodig is om te achterhalen wat er op het origineel staat en heeft gestaan. Denk aan bestanden en mappen, soms ook als ze al verwijderd zijn. Beveiligingsbedrijven gebruiken deze kopie vaak voor onderzoek, en politie en openbaar ministerie gebruiken deze kopie vaak voor onderzoek in relatie tot een strafzaak.",,"INFOSEC",,,,,
"Forensisch image",,"Forensic image","INFOSEC",,,,,
"Forensisch onderzoek","Technisch sporenonderzoek op (forensische kopieën van) digitale systemen tijdens of na een aanval. De onderzoekers verzamelen en analyseren bewijsmateriaal en proberen zo vragen te beantwoorden over de aanval. Bijvoorbeeld wanneer en hoe de aanval heeft plaatsgevonden, welke informatie er is gestolen en wie er achter de aanval zat.",,"INFOSEC",,,,,
"Functiescheiding","Uitgangspunt dat er ver - schillende personen nodig zijn om een serie van kwetsbare activiteiten uit te voeren. Dit zijn activiteiten die men eenvoudig kan misbruiken of een hoge mate van beveiliging ver - eisen. Bijvoorbeeld, een persoon geeft toestem - ming voor een nieuw ac - count. Een ander maakt het account aan en weer een ander bepaalt de rechten die iemand krijgt. Zo kan niet één persoon niet alles zelf uitvoeren waardoor het risico op misbruik afneemt. ",,"INFOSEC",,,,,
"Functionaris Gegevensbescherming"," Dit is iemand die binnen de organisatie toezicht houdt op de toepassing en naleving van de Algemene verordening gegevensbescherming (AVG).",,"INFOSEC",,,,,
"Fysieke beveiliging","Maatregelen om te voorkomen dat iemand bijvoorbeeld op een computer of ander digitaal apparaat kan werken, of een beveiligd gebouw zomaar in kan lopen, terwijl hij dat niet mag. ",,"INFOSEC",,,,,
"Gap analyse","Analyse om te bepalen in hoeverre een systeem of organisatie voldoet een de veiligheidseisen. En wat de organisatie eventueel nog moet regelen om aan alle eisen te voldoen.",,"INFOSEC",,,,,
"GDPR","General Data Protection Regulation. Algemene Verordening Gegevensbescherming (AVG) is de Nederlandse uitwerking van deze Europese regelgeving.","AVG","INFOSEC",,,,,
"Gebruikersnaam","Naam waarmee een gebruiker in een computersysteem kan inloggen. ","Inlogcode","INFOSEC",,,,,
"Geheimhoudingsverklaring","Overeenkomst waarbij twee of meer partijen met elkaar afspreken om informatie geheim te houden. Ze delen die dus niet met anderen. ",,"INFOSEC",,,,,
